Group,Time,Id,User,Message
"group 4","2/11/2016 9:57:07 PM","R_3oLBldwr1R95xf0","User 1","15. most disturbing, my sister, she is my best friend"
"group 4","2/11/2016 9:57:09 PM","R_2Qm03NFsq6GEBzt","User 2","same journal"
"group 4","2/11/2016 9:57:10 PM","R_3oLBldwr1R95xf0","User 1","good speakin'"
"group 4","2/11/2016 9:57:27 PM","R_3oLBldwr1R95xf0","User 1","i think you're real"
"group 4","2/11/2016 9:57:30 PM","R_2Qm03NFsq6GEBzt","User 2","hmmm I'd probably have to say anyone in my family"
"group 4","2/11/2016 9:57:30 PM","R_3oLBldwr1R95xf0","User 1"," :joy:"
"group 4","2/11/2016 9:57:33 PM","R_2Qm03NFsq6GEBzt","User 2","oh cool!"
"group 4","2/11/2016 9:57:35 PM","R_2Qm03NFsq6GEBzt","User 2","yayyyy!"
"group 4","2/11/2016 9:57:35 PM","R_3oLBldwr1R95xf0","User 1","!"
"group 4","2/11/2016 9:57:36 PM","R_3oLBldwr1R95xf0","User 1",":)"
"group 4","2/11/2016 9:57:37 PM","R_3oLBldwr1R95xf0","User 1","hahah"
"group 4","2/11/2016 9:57:39 PM","","System",">> User 1 has Disconnected"
"group 4","2/11/2016 9:57:58 PM","","System",">> User 2 has Disconnected"
"group 4","2/11/2016 10:04:38 PM","","System",">> This chat has 1500 seconds remaining before expiring. Please start wrapping up your conversation."
"group 4","2/11/2016 10:30:14 PM","","System",">> This chat has now expired."
"group 5","2/11/2016 9:43:38 PM","","System",">> User 1 has Connected"
"group 5","2/11/2016 9:51:55 PM","","System",">> User 1 has Disconnected"
"group 6","2/11/2016 9:44:23 PM","","System",">> User 1 has Connected"
"group 6","2/11/2016 9:53:57 PM","","System",">> User 1 has Disconnected"
"group 7","2/11/2016 10:26:55 PM","","System",">> User 1 has Connected"
"group 7","2/11/2016 10:31:25 PM","","System",">> User 1 has Disconnected"
"group 8","2/11/2016 10:39:43 PM","","System",">> User 1 has Connected"
"group 8","2/11/2016 10:39:47 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 8","2/11/2016 10:39:47 PM","","System",">> User 2 has Connected"
"group 8","2/11/2016 10:41:19 PM","R_1pE8hukim0VOrik","User 1","Given	   the	   choice	    of	   anyone	   in	   the	   world,	   whom	   would	   you	   want	   as	   a	   dinner?"
"group 8","2/11/2016 10:41:28 PM","R_1r33TgrvyV03RTj","User 2","Given the choice of anyone in the world, whom would you want as a dinner guest?"
"group 8","2/11/2016 10:42:01 PM","R_1pE8hukim0VOrik","User 1","I would want to ask Donald Trump to dinner."
"group 8","2/11/2016 10:42:06 PM","R_1r33TgrvyV03RTj","User 2","I would love to have dinner with Anna Wintour, the Editor in Chief at Vogue."
"group 8","2/11/2016 10:42:35 PM","R_1pE8hukim0VOrik","User 1","Why?"
"group 8","2/11/2016 10:43:07 PM","R_1pE8hukim0VOrik","User 1","What  would  constitute  a  ""perfect""  day  for you?"
"group 8","2/11/2016 10:43:13 PM","R_1r33TgrvyV03RTj","User 2","I am really interested in entering the field of fashion, and she is someone I have idolized since I was a child."
"group 8","2/11/2016 10:44:01 PM","R_1pE8hukim0VOrik","User 1","Going surfing, taking a nap, and then going to a bar with friends would be a perfect day."
"group 8","2/11/2016 10:44:18 PM","R_1r33TgrvyV03RTj","User 2","On a perfect day, I would wake up early and run on the beach. After, I would grab coffee and breakfast with friends and go shopping. Then we would see a movie, and maybe go to bars at night."
"group 8","2/11/2016 10:45:17 PM","R_1pE8hukim0VOrik","User 1","If	   you	   were	   able	   to	   live	   to	   the	   age	   of	   90	   and	   retain	   either	   the	   mind	   or	   body	   of	   a	   30 -­‐ year -­‐ old	    for	   the	   last	   60	   years	   of	   your	   life,	   which	   would	   you	    want?"
"group 8","2/11/2016 10:46:20 PM","R_1pE8hukim0VOrik","User 1","I would want the body of a 30 year old."
"group 8","2/11/2016 10:46:34 PM","R_1r33TgrvyV03RTj","User 2","Hmmm, I would want to retain the mind of a 30 year old, so that I could communicate with friends and family and partake in my favorite activities"
"group 8","2/11/2016 10:47:00 PM","R_1r33TgrvyV03RTj","User 2","If you could change anything about the way you were raised, what would it be?"
"group 8","2/11/2016 10:47:36 PM","R_1pE8hukim0VOrik","User 1","Having parents that weren't divorced."
"group 8","2/11/2016 10:47:42 PM","R_1pE8hukim0VOrik","User 1","You?"
"group 8","2/11/2016 10:48:21 PM","R_1r33TgrvyV03RTj","User 2","I would have tried to form better relations with my grandparents before they passed."
"group 8","2/11/2016 10:48:42 PM","R_1pE8hukim0VOrik","User 1","If  you  could  wake  up  tomorrow  having  gained  any  one  quality  or  ability,  what"
"group 8","2/11/2016 10:48:50 PM","R_1pE8hukim0VOrik","User 1","would it be?"
"group 8","2/11/2016 10:49:14 PM","R_1pE8hukim0VOrik","User 1","If  you  could  wake  up  tomorrow  having  gained  any  one  quality  or  ability,  what would it be?"
"group 8","2/11/2016 10:49:56 PM","R_1r33TgrvyV03RTj","User 2","I would like to more self-confidence and self-love."
"group 8","2/11/2016 10:50:02 PM","R_1r33TgrvyV03RTj","User 2","How about you?"
"group 8","2/11/2016 10:50:16 PM","R_1pE8hukim0VOrik","User 1","I would want the ability to control any and all forms of matter."
"group 8","2/11/2016 10:50:22 PM","R_1r33TgrvyV03RTj","User 2","Very cool"
"group 8","2/11/2016 10:50:53 PM","R_1r33TgrvyV03RTj","User 2","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, what would you want to know?"
"group 8","2/11/2016 10:51:36 PM","R_1pE8hukim0VOrik","User 1","I would want to know if I die happy."
"group 8","2/11/2016 10:51:38 PM","R_1pE8hukim0VOrik","User 1","You?"
"group 8","2/11/2016 10:52:08 PM","R_1r33TgrvyV03RTj","User 2","I would want to see my life and the life of my loved ones 10 years down the road, to ensure that everybody was happy and healthy."
"group 8","2/11/2016 10:52:21 PM","R_1pE8hukim0VOrik","User 1","What  is  the  greatest  accomplishment  of  your life?"
"group 8","2/11/2016 10:52:52 PM","R_1r33TgrvyV03RTj","User 2","My greatest accomplishment is going to a top-notch university while playing a Division 1 sport."
"group 8","2/11/2016 10:52:56 PM","R_1r33TgrvyV03RTj","User 2","How about you?"
"group 8","2/11/2016 10:53:30 PM","R_1pE8hukim0VOrik","User 1","My greatest accomplishment was over coming my depression and gaining a sense of self."
"group 8","2/11/2016 10:53:58 PM","R_1r33TgrvyV03RTj","User 2","What is your most treasured memory?"
"group 8","2/11/2016 10:55:10 PM","R_1pE8hukim0VOrik","User 1","The most treasured memory I have is sitting on a beach in the bahamas."
"group 8","2/11/2016 10:55:13 PM","R_1pE8hukim0VOrik","User 1","You/"
"group 8","2/11/2016 10:55:18 PM","R_1pE8hukim0VOrik","User 1","you?"
"group 8","2/11/2016 10:55:35 PM","R_1r33TgrvyV03RTj","User 2","My dad kind of raised me when I was a child, so my most treasured memories are our times together."
"group 8","2/11/2016 10:56:04 PM","R_1r33TgrvyV03RTj","User 2","If you knew that in one year you would die suddenly, would you change anything about the way you are now living? Why?"
"group 8","2/11/2016 10:56:37 PM","R_1pE8hukim0VOrik","User 1","I would go on vacation for the remainder of my time and see the world."
"group 8","2/11/2016 10:57:01 PM","R_1pE8hukim0VOrik","User 1","You?"
"group 8","2/11/2016 10:57:10 PM","R_1r33TgrvyV03RTj","User 2","I would also like to travel. But, I feel like I live each day to the fullest so I wouldn't really change all that much."
"group 8","2/11/2016 10:57:19 PM","R_1r33TgrvyV03RTj","User 2","How do you feel about your relationship with your mother?"
"group 8","2/11/2016 10:57:31 PM","R_1pE8hukim0VOrik","User 1","It is the best relationship I have."
"group 8","2/11/2016 10:57:42 PM","R_1pE8hukim0VOrik","User 1","Who is your mother?"
"group 8","2/11/2016 10:57:55 PM","R_1r33TgrvyV03RTj","User 2","My mom is my best friend."
"group 8","2/11/2016 10:58:11 PM","R_1r33TgrvyV03RTj","User 2","What is your most embarrassing moment?"
"group 8","2/11/2016 10:58:43 PM","R_1pE8hukim0VOrik","User 1","I once was laughed at by an entire class for blushing."
"group 8","2/11/2016 10:58:46 PM","R_1pE8hukim0VOrik","User 1","You?"
"group 8","2/11/2016 10:59:09 PM","R_1r33TgrvyV03RTj","User 2","I got really drunk and embarassing on a date with a guy I liked."
"group 8","2/11/2016 10:59:22 PM","R_1r33TgrvyV03RTj","User 2","When did you last cry in front of another person? Or by yourself?"
"group 8","2/11/2016 10:59:57 PM","","System",">> This chat has 1500 seconds remaining before expiring. Please start wrapping up your conversation."
"group 8","2/11/2016 11:00:01 PM","R_1pE8hukim0VOrik","User 1","The last time I cried infront of someone was when I was talking to my therapist."
"group 8","2/11/2016 11:00:29 PM","R_1r33TgrvyV03RTj","User 2","The last time I cried in front of someone was when we lost a big game, and it was my fault."
"group 8","2/11/2016 11:00:45 PM","R_1pE8hukim0VOrik","User 1","f	   you	   were	   to	   die	   this	   e vening	   with	   no	   opportunity	   to	   communicate	   with	   anyone,	   what	    would	   you	   most	   regret	   not	   having	   told	   someone?	   Why	   haven't	   you	   told	   them yet?"
"group 8","2/11/2016 11:01:05 PM","R_1r33TgrvyV03RTj","User 2","I would tell my sister that I loved her and apologize for not talking with her more."
"group 8","2/11/2016 11:01:15 PM","R_1r33TgrvyV03RTj","User 2","We haven't been speaking,"
"group 8","2/11/2016 11:01:18 PM","R_1r33TgrvyV03RTj","User 2","What about you?"
"group 8","2/11/2016 11:01:19 PM","R_1pE8hukim0VOrik","User 1","same but for my brother"
"group 8","2/11/2016 11:01:38 PM","R_1pE8hukim0VOrik","User 1","Your	   house,	   containing	   everything	   you	   own,	   catches	   fire.	   After	   saving	   your	   loved	   ones	   and	    pets,	   you	   have	   time	   to	    safely	   make	   a	   final	   dash	   to	   save	   any	   one	   item.	   What	   would	   it	   be?	    Why?"
"group 8","2/11/2016 11:01:57 PM","R_1pE8hukim0VOrik","User 1","I would save my computer because it has so much stuff on it."
"group 8","2/11/2016 11:02:11 PM","R_1r33TgrvyV03RTj","User 2","I would grab my grandmother's necklaces and as many pictures as I could because they all mean a lot to me. What about you?"
"group 8","2/11/2016 11:02:19 PM","R_1pE8hukim0VOrik","User 1","Of	   all	   the	   people	   in	   your	   family, whose	   death	   would	   you	   find	   most	   disturbing?"
"group 8","2/11/2016 11:02:23 PM","R_1pE8hukim0VOrik","User 1","Why?"
"group 8","2/11/2016 11:02:33 PM","R_1r33TgrvyV03RTj","User 2","My mother, because she is the rock of our family."
"group 8","2/11/2016 11:02:38 PM","R_1pE8hukim0VOrik","User 1","Same"
"group 8","2/11/2016 11:02:44 PM","","System",">> User 2 has Disconnected"
"group 8","2/11/2016 11:02:49 PM","","System",">> User 1 has Disconnected"
"group 8","2/11/2016 11:25:27 PM","","System",">> This chat has now expired."
"group 9","2/11/2016 10:39:53 PM","","System",">> User 1 has Connected"
"group 9","2/11/2016 10:42:40 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 9","2/11/2016 10:42:40 PM","","System",">> User 2 has Connected"
"group 9","2/11/2016 10:43:00 PM","R_1LCD0SpNxIu6Y4V","User 1","I guess I should start with the first question"
"group 9","2/11/2016 10:43:18 PM","R_1LCD0SpNxIu6Y4V","User 1","Let's go"
"group 9","2/11/2016 10:43:20 PM","R_1LCD0SpNxIu6Y4V","User 1","Given	   the	   choice	    of	   anyone	   in	   the	   world,	   whom	   would	   you	   want	   as	   a	   dinne"
"group 9","2/11/2016 10:43:36 PM","R_1LCD0SpNxIu6Y4V","User 1","r guest?"
"group 9","2/11/2016 10:44:32 PM","R_2aqLjynDxEckFs7","User 2","I would want to have dinner with the US president"
"group 9","2/11/2016 10:44:43 PM","R_2aqLjynDxEckFs7","User 2","who would you want as a dinner guest?"
"group 9","2/11/2016 10:45:23 PM","R_1LCD0SpNxIu6Y4V","User 1","I would say the Pope"
"group 9","2/11/2016 10:45:41 PM","R_2aqLjynDxEckFs7","User 2","What  would  constitute  a  ""perfect""  day  for"
"group 9","2/11/2016 10:45:45 PM","R_2aqLjynDxEckFs7","User 2","you?"
"group 9","2/11/2016 10:46:18 PM","R_1LCD0SpNxIu6Y4V","User 1","Probably discovering something important, and then share the rest of the day with my most loved one"
"group 9","2/11/2016 10:46:26 PM","R_1LCD0SpNxIu6Y4V","User 1","What about you?"
"group 9","2/11/2016 10:47:26 PM","R_2aqLjynDxEckFs7","User 2","My perfect day would be going on a hike with family somewhere very beautiful and rare, but then going out for dinner and spending the night with my partner"
"group 9","2/11/2016 10:47:44 PM","R_1LCD0SpNxIu6Y4V","User 1","If	   you	   were	   able	   to	   live	   to	   the	   age	   of	   90	   and	   retain	   either	   the	   mind	   or	   body	   of	   a	   30 -­‐ year -­‐ old	    for	   the	   last	   60	   years	   of	   your	   life,	   which	   would	   you	    want?"
"group 9","2/11/2016 10:48:13 PM","R_1LCD0SpNxIu6Y4V","User 1","I like the hike part btw"
"group 9","2/11/2016 10:48:32 PM","R_2aqLjynDxEckFs7","User 2","Thanks :)"
"group 9","2/11/2016 10:49:08 PM","R_2aqLjynDxEckFs7","User 2","At the age of 90 I would would hope to keep my own mind or body when I was 30, or my mom's because she is amazing."
"group 9","2/11/2016 10:49:11 PM","R_2aqLjynDxEckFs7","User 2","how about you?"
"group 9","2/11/2016 10:50:07 PM","R_1LCD0SpNxIu6Y4V","User 1","I would like to retain my mind, I would hate to get dementia"
"group 9","2/11/2016 10:50:17 PM","R_1LCD0SpNxIu6Y4V","User 1","or not being able to understand what is happening around me"
"group 9","2/11/2016 10:50:46 PM","R_1LCD0SpNxIu6Y4V","User 1","If  you  could  change  anything  about  the  way  you  were  raised,  what  would it be?"
"group 9","2/11/2016 10:50:59 PM","R_2aqLjynDxEckFs7","User 2","My bad I misunderstood the question. I would denitely choose mind. no point in having a young body but not being able to think!"
"group 9","2/11/2016 10:51:42 PM","R_1LCD0SpNxIu6Y4V","User 1","well you would rock at the third-age meetings"
"group 9","2/11/2016 10:52:05 PM","R_2aqLjynDxEckFs7","User 2","If I could change something about the way I was raised I would change the balance that my mom and dad."
"group 9","2/11/2016 10:52:28 PM","R_2aqLjynDxEckFs7","User 2","how about you?"
"group 9","2/11/2016 10:52:50 PM","R_2aqLjynDxEckFs7","User 2","I apologize for how terribly I am writing"
"group 9","2/11/2016 10:53:27 PM","R_1LCD0SpNxIu6Y4V","User 1","That's fine"
"group 9","2/11/2016 10:53:36 PM","R_1LCD0SpNxIu6Y4V","User 1","this chat is one of the worst means to communicate"
"group 9","2/11/2016 10:53:53 PM","R_2aqLjynDxEckFs7","User 2","I agree"
"group 9","2/11/2016 10:54:03 PM","R_1LCD0SpNxIu6Y4V","User 1","I am actually having a hard time thinking what I would change"
"group 9","2/11/2016 10:54:17 PM","R_1LCD0SpNxIu6Y4V","User 1","I like the way my parents raised me"
"group 9","2/11/2016 10:54:35 PM","R_1LCD0SpNxIu6Y4V","User 1","can we just skip to the next question? :grin:"
"group 9","2/11/2016 10:54:45 PM","R_2aqLjynDxEckFs7","User 2","Me too. I turned out great so it is a hard question."
"group 9","2/11/2016 10:54:46 PM","R_2aqLjynDxEckFs7","User 2","sure"
"group 9","2/11/2016 10:54:51 PM","R_2aqLjynDxEckFs7","User 2","If you could wake up tomorrow having gained any one quality or ability, what would it be?"
"group 9","2/11/2016 10:55:25 PM","R_1LCD0SpNxIu6Y4V","User 1","I would love to be able to draw"
"group 9","2/11/2016 10:55:40 PM","R_1LCD0SpNxIu6Y4V","User 1","So that I could give form to all my ideas and thoughts"
"group 9","2/11/2016 10:55:48 PM","R_1LCD0SpNxIu6Y4V","User 1","What would be yours?"
"group 9","2/11/2016 10:56:32 PM","R_2aqLjynDxEckFs7","User 2","If it were possible I would love to be able to fly. But for something more concrete I wish I could be less self conscious"
"group 9","2/11/2016 10:57:13 PM","R_2aqLjynDxEckFs7","User 2","If a crystal ball could tell you the truth about yourself , your life, the future, or anything else, what would it be?"
"group 9","2/11/2016 10:57:43 PM","R_2aqLjynDxEckFs7","User 2","what would you want to know?"
"group 9","2/11/2016 10:57:45 PM","R_1LCD0SpNxIu6Y4V","User 1","Is there other sentient life in the univers?"
"group 9","2/11/2016 10:57:53 PM","R_1LCD0SpNxIu6Y4V","User 1","*e"
"group 9","2/11/2016 10:58:05 PM","R_1LCD0SpNxIu6Y4V","User 1","And your question?"
"group 9","2/11/2016 10:58:48 PM","R_2aqLjynDxEckFs7","User 2","If a crystal ball could tell you the truth about yourself , your life, the future, or anything else, what would you want to know?"
"group 9","2/11/2016 10:59:02 PM","R_1LCD0SpNxIu6Y4V","User 1","I mean your answer sorry ahah"
"group 9","2/11/2016 10:59:44 PM","R_2aqLjynDxEckFs7","User 2","My answer to is there other life in universe? I don't know, but it would be cool."
"group 9","2/11/2016 11:00:15 PM","R_1LCD0SpNxIu6Y4V","User 1","What  is  the  greatest  accomplishment  of  your life?"
"group 9","2/11/2016 11:00:31 PM","R_1LCD0SpNxIu6Y4V","User 1","That's tough, we are not that old"
"group 9","2/11/2016 11:01:13 PM","R_2aqLjynDxEckFs7","User 2","Making it through 3 surgeries within 3 surgeries and coming out strong. How about you?"
"group 9","2/11/2016 11:01:26 PM","R_1LCD0SpNxIu6Y4V","User 1","wow"
"group 9","2/11/2016 11:01:42 PM","R_2aqLjynDxEckFs7","User 2","3 years*"
"group 9","2/11/2016 11:02:00 PM","R_1LCD0SpNxIu6Y4V","User 1","Mine I think is figuring out what I want to do in my life"
"group 9","2/11/2016 11:02:12 PM","R_2aqLjynDxEckFs7","User 2","Thats a good one haha"
"group 9","2/11/2016 11:02:24 PM","R_2aqLjynDxEckFs7","User 2","What is your most treasured memory ?"
"group 9","2/11/2016 11:02:52 PM","","System",">> This chat has 1500 seconds remaining before expiring. Please start wrapping up your conversation."
"group 9","2/11/2016 11:03:08 PM","R_1LCD0SpNxIu6Y4V","User 1","we need to be quick it seems"
"group 9","2/11/2016 11:03:34 PM","R_1LCD0SpNxIu6Y4V","User 1","the memory I have of the last birthday my grandfather attended before dying"
"group 9","2/11/2016 11:03:38 PM","R_1LCD0SpNxIu6Y4V","User 1","and yours?"
"group 9","2/11/2016 11:03:51 PM","R_2aqLjynDxEckFs7","User 2","That is a difficult one because there are so many. I definitely treasure any moments with my family because they wont be around forever."
"group 9","2/11/2016 11:04:07 PM","R_1LCD0SpNxIu6Y4V","User 1","If	   you	   knew	   that	   in	   one	   year	   you	   would	   die	   suddenly,	   would	   you	   change	   anything	   about	   the	    way	   you	   are now	   living?	   Why?"
"group 9","2/11/2016 11:04:17 PM","R_1LCD0SpNxIu6Y4V","User 1","Yeah I think the same"
"group 9","2/11/2016 11:04:52 PM","R_2aqLjynDxEckFs7","User 2","Thats a scary thought. I would probably spend all my money and travel the world. That would be terrible if I didnt end up dying and ended yp broke though"
"group 9","2/11/2016 11:05:04 PM","R_2aqLjynDxEckFs7","User 2","How about you?"
"group 9","2/11/2016 11:05:34 PM","R_1LCD0SpNxIu6Y4V","User 1","I would start having conversations with everyone I'd meet"
"group 9","2/11/2016 11:05:39 PM","R_2aqLjynDxEckFs7","User 2","How do you feel about your relationship with our mother?"
"group 9","2/11/2016 11:06:00 PM","R_2aqLjynDxEckFs7","User 2","Get to know as many personalities and stories as possible? That sounds fun and enriching"
"group 9","2/11/2016 11:06:34 PM","R_1LCD0SpNxIu6Y4V","User 1","I feel that sometimes she could just relax"
"group 9","2/11/2016 11:06:45 PM","R_1LCD0SpNxIu6Y4V","User 1","even if we don't see each other every day is fine"
"group 9","2/11/2016 11:06:51 PM","R_1LCD0SpNxIu6Y4V","User 1","What about you?"
"group 9","2/11/2016 11:07:30 PM","R_2aqLjynDxEckFs7","User 2","I have a love/ hate relastionship. We fight a lot, I think its because we are both stubborn capricorns. But I know that all she wants is what is best for me, and wont accept anything below average. Just messes up on the ways of getting that through to me"
"group 9","2/11/2016 11:07:56 PM","R_1LCD0SpNxIu6Y4V","User 1","I think that happens a lot"
"group 9","2/11/2016 11:07:58 PM","R_2aqLjynDxEckFs7","User 2","What is an embarassing moment?"
"group 9","2/11/2016 11:07:59 PM","R_1LCD0SpNxIu6Y4V","User 1","Share  with  your  partner  an  embarrassing  moment  in  your life"
"group 9","2/11/2016 11:08:06 PM","R_1LCD0SpNxIu6Y4V","User 1","ok I'll go first"
"group 9","2/11/2016 11:08:30 PM","R_1LCD0SpNxIu6Y4V","User 1","I once declared myself to the person I liked and then immediately ran away"
"group 9","2/11/2016 11:09:26 PM","R_2aqLjynDxEckFs7","User 2","an embarassing moment for me was when my dad came home from work and I had my partner in the house. Luckily we werent doing anything too crazy"
"group 9","2/11/2016 11:09:45 PM","R_1LCD0SpNxIu6Y4V","User 1","""too"""
"group 9","2/11/2016 11:09:50 PM","R_2aqLjynDxEckFs7","User 2","When did you last cry in front of another person? By yourself?"
"group 9","2/11/2016 11:09:52 PM","R_2aqLjynDxEckFs7","User 2","haha yup"
"group 9","2/11/2016 11:09:59 PM","R_1LCD0SpNxIu6Y4V","User 1","ahah"
"group 9","2/11/2016 11:10:17 PM","R_1LCD0SpNxIu6Y4V","User 1","I don't remeber in front of another person"
"group 9","2/11/2016 11:10:23 PM","R_1LCD0SpNxIu6Y4V","User 1","probably when I was 10"
"group 9","2/11/2016 11:10:27 PM","R_2aqLjynDxEckFs7","User 2","wow"
"group 9","2/11/2016 11:10:34 PM","R_1LCD0SpNxIu6Y4V","User 1","By myself when my grandfather died, 6 years ago"
