Group,Time,Id,User,Message,Message filtered,Source,Script
group 113,1/9/2016 22:53,,System,>> User 1 has Connected,,,
group 113,1/9/2016 23:04,,System,>> User 1 has Disconnected,,,
group 114,1/9/2016 23:08,,System,>> User 1 has Connected,,,
group 114,1/9/2016 23:09,,System,>> User 1 has Disconnected,,,
group 115,1/9/2016 23:45,,System,>> User 1 has Connected,,,
group 115,1/9/2016 23:47,,System,>> User 1 has Disconnected,,,
group 116,1/10/2016 0:21,,System,>> User 1 has Connected,,,
group 116,1/10/2016 0:38,,System,>> All chat participants have arrived. You may now chat!,,,
group 116,1/10/2016 0:38,,System,>> User 2 has Connected,,,
group 116,1/10/2016 0:39,R_3kgNGYBrQmOC7B5,User 2,"Given the choice of anyone in the world, whom would you want as a dinner guest?","Given the choice of anyone in the world, whom would you want as a dinner guest?",mturk,Close
group 116,1/10/2016 0:39,R_2dzGQML9eWJd1r0,User 1,"Given the choice of anyone in the world, whom would you want as a dinner guest?","Given the choice of anyone in the world, whom would you want as a dinner guest?",mturk,Close
group 116,1/10/2016 0:40,R_3kgNGYBrQmOC7B5,User 2,"Dead or alive? If the dead counts, I choose Tupac. :wink:","Dead or alive? If the dead counts, I choose Tupac. :wink:",mturk,Close
group 116,1/10/2016 0:40,R_2dzGQML9eWJd1r0,User 1,"I think I would really like to have Maya Angelou as a dinner guest, because she is so inspirational and has so many valuable life experiences to share.","I think I would really like to have Maya Angelou as a dinner guest, because she is so inspirational and has so many valuable life experiences to share.",mturk,Close
group 116,1/10/2016 0:41,R_3kgNGYBrQmOC7B5,User 2,"Wow, that's pretty awesome. What would constitute a ""perfect"" day for you?","Wow, that's pretty awesome. What would constitute a ""perfect"" day for you?",mturk,Close
group 116,1/10/2016 0:41,R_2dzGQML9eWJd1r0,User 1,"I would love to go to a beach, and then eat a ton of steak from a Brazilian steakhouse. It wouldn't be complete unless I was able to read a little bit as well!","I would love to go to a beach, and then eat a ton of steak from a Brazilian steakhouse. It wouldn't be complete unless I was able to read a little bit as well!",mturk,Close
group 116,1/10/2016 0:41,R_2dzGQML9eWJd1r0,User 1,"What would constitute a ""perfect"" day for you?","What would constitute a ""perfect"" day for you?",mturk,Close
group 116,1/10/2016 0:42,R_3kgNGYBrQmOC7B5,User 2,"a perfect day to me is a few rolled blunts, some pages to write on and the breeze of the beach. clearly I didn't make it to the beach this past summer.","a perfect day to me is a few rolled blunts, some pages to write on and the breeze of the beach. clearly I didn't make it to the beach this past summer.",mturk,Close
group 116,1/10/2016 0:43,R_2dzGQML9eWJd1r0,User 1,"Interesting! If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old for the last 60 years of your life, which would you want?","Interesting! If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old for the last 60 years of your life, which would you want?",mturk,Close
group 116,1/10/2016 0:44,R_3kgNGYBrQmOC7B5,User 2,I'd definitely choose the mind of a 30 year old at the age of 90. I can work out and have the body of a 60 year old instead :wink:,I'd definitely choose the mind of a 30 year old at the age of 90. I can work out and have the body of a 60 year old instead :wink:,mturk,Close
group 116,1/10/2016 0:44,R_3kgNGYBrQmOC7B5,User 2,"If you could change anything about the way you were raised, what would it be?","If you could change anything about the way you were raised, what would it be?",mturk,Close
group 116,1/10/2016 0:45,R_2dzGQML9eWJd1r0,User 1,"I think I would prefer that my parents didn't ground me so much! If you could change anything about the way you were raised, what would it be?","I think I would prefer that my parents didn't ground me so much! If you could change anything about the way you were raised, what would it be?",mturk,Close
group 116,1/10/2016 0:45,R_3kgNGYBrQmOC7B5,User 2,wait I didn't even give you a chance to answer the last question! oops,wait I didn't even give you a chance to answer the last question! oops,mturk,Close
group 116,1/10/2016 0:45,R_2dzGQML9eWJd1r0,User 1,"True! I would choose the mind of a 30 year old, too!","True! I would choose the mind of a 30 year old, too!",mturk,Close
group 116,1/10/2016 0:45,R_3kgNGYBrQmOC7B5,User 2,"and I'd just like to be closer to my mom, that's it really. we're close but not as close as I feel like we should be","and I'd just like to be closer to my mom, that's it really. we're close but not as close as I feel like we should be",mturk,Close
group 116,1/10/2016 0:46,R_2dzGQML9eWJd1r0,User 1,"If you could wake up tomorrow having gained any one quality or ability, what would it be?","If you could wake up tomorrow having gained any one quality or ability, what would it be?",mturk,Close
group 116,1/10/2016 0:46,R_3kgNGYBrQmOC7B5,User 2,the ability to stay focused and actually get something done these days! I've been super stagnant and it sucks. what about you?,the ability to stay focused and actually get something done these days! I've been super stagnant and it sucks. what about you?,mturk,Close
group 116,1/10/2016 0:47,R_2dzGQML9eWJd1r0,User 1,"That was actually my answer, too! I have a list a mile long, and so many crafts I need to get done, but not enough hours are in the day.","That was actually my answer, too! I have a list a mile long, and so many crafts I need to get done, but not enough hours are in the day.",mturk,Close
group 116,1/10/2016 0:47,R_2dzGQML9eWJd1r0,User 1,"If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, what would you want to know?","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, what would you want to know?",mturk,Close
group 116,1/10/2016 0:49,R_3kgNGYBrQmOC7B5,User 2,I'd want to know if my son will be raised wonderfully and happily. I just want him to be happy. what about you,I'd want to know if my son will be raised wonderfully and happily. I just want him to be happy. what about you,mturk,Close
group 116,1/10/2016 0:50,R_3kgNGYBrQmOC7B5,User 2,I'm raising him by the way.. in case you were wondering lol,I'm raising him by the way.. in case you were wondering lol,mturk,Close
group 116,1/10/2016 0:50,R_2dzGQML9eWJd1r0,User 1,"I don't know that I would want to know. What if you know something that's bad, but you have no ability to change it? I would hate knowing that.","I don't know that I would want to know. What if you know something that's bad, but you have no ability to change it? I would hate knowing that.",mturk,Close
group 116,1/10/2016 0:50,R_3kgNGYBrQmOC7B5,User 2,yeah that would suck,yeah that would suck,mturk,Close
group 116,1/10/2016 0:50,R_2dzGQML9eWJd1r0,User 1,I'm sure as long as you're trying your hardest and doing the best you can then I'm sure he will be :),I'm sure as long as you're trying your hardest and doing the best you can then I'm sure he will be :),mturk,Close
group 116,1/10/2016 0:50,R_2dzGQML9eWJd1r0,User 1,What is the greatest accomplishment of your life?,What is the greatest accomplishment of your life?,mturk,Close
group 116,1/10/2016 0:52,R_3kgNGYBrQmOC7B5,User 2,wow you're really human like huh? lovely response I appreciate it. He is my greatest accomplishment! (my son),wow you're really human like huh? lovely response I appreciate it. He is my greatest accomplishment! (my son),mturk,Close
group 116,1/10/2016 0:52,R_3kgNGYBrQmOC7B5,User 2,what's yours?,what's yours?,mturk,Close
group 116,1/10/2016 0:53,R_2dzGQML9eWJd1r0,User 1,"Graduating college. It took 6 years, but I finally did it!","Graduating college. It took 6 years, but I finally did it!",mturk,Close
group 116,1/10/2016 0:53,R_2dzGQML9eWJd1r0,User 1,What is your most treasured memory?,What is your most treasured memory?,mturk,Close
group 116,1/10/2016 0:54,R_3kgNGYBrQmOC7B5,User 2,"that's a major accomplishment, congrats on that. my most treasured memory is having been able to grow up with both of my grandmothers. they both died last year and I miss them terribly. what's your most treasured memory?","that's a major accomplishment, congrats on that. my most treasured memory is having been able to grow up with both of my grandmothers. they both died last year and I miss them terribly. what's your most treasured memory?",mturk,Close
group 116,1/10/2016 0:54,R_2dzGQML9eWJd1r0,User 1,"Just all the times I've been able to hang out with my family. If you knew that in one year you would die suddenly, would you change anything about the way you are living? Why?","Just all the times I've been able to hang out with my family. If you knew that in one year you would die suddenly, would you change anything about the way you are living? Why?",mturk,Close
group 116,1/10/2016 0:55,R_3kgNGYBrQmOC7B5,User 2,I would definitely change my ways as far as being nicer and more loving in general. I'd also spend more time with the ones that matter the most to me. what about you?,I would definitely change my ways as far as being nicer and more loving in general. I'd also spend more time with the ones that matter the most to me. what about you?,mturk,Close
group 116,1/10/2016 0:55,R_2dzGQML9eWJd1r0,User 1,"I would. I would spend more time with my family and friends, and less time worrying about things that don't matter as much. Life is short!","I would. I would spend more time with my family and friends, and less time worrying about things that don't matter as much. Life is short!",mturk,Close
group 116,1/10/2016 0:55,R_2dzGQML9eWJd1r0,User 1,How do you feel about your relationship with your mother?,How do you feel about your relationship with your mother?,mturk,Close
group 116,1/10/2016 0:56,R_3kgNGYBrQmOC7B5,User 2,"oh and to answer the why, because it's not cool to be an asshole all of the time. I don't have to be so rude.","oh and to answer the why, because it's not cool to be an asshole all of the time. I don't have to be so rude.",mturk,Close
group 116,1/10/2016 0:56,R_2dzGQML9eWJd1r0,User 1,^^ Me either ;),^^ Me either ;),mturk,Close
group 116,1/10/2016 0:56,R_3kgNGYBrQmOC7B5,User 2,"lol.. I love my mom, she still does a lot for me up until this day. I wish we were a bit closer, that's it really.","lol.. I love my mom, she still does a lot for me up until this day. I wish we were a bit closer, that's it really.",mturk,Close
group 116,1/10/2016 0:57,R_3kgNGYBrQmOC7B5,User 2,what about your relationship with your mom?,what about your relationship with your mom?,mturk,Close
group 116,1/10/2016 0:57,R_2dzGQML9eWJd1r0,User 1,I love her a lot. I just hope that I can support her when she gets older. I worry about her health :( What's your most embarrassing moment? Mine was puking during a play I was in during my grade school years :(,I love her a lot. I just hope that I can support her when she gets older. I worry about her health :( What's your most embarrassing moment? Mine was puking during a play I was in during my grade school years :(,mturk,Close
group 116,1/10/2016 0:59,,System,>> This chat has 600 seconds remaining before expiring. Please start wrapping up your conversation.,,,
group 116,1/10/2016 0:59,R_3kgNGYBrQmOC7B5,User 2,mine was eating pizza out of a trash can when I was like 7,mine was eating pizza out of a trash can when I was like 7,mturk,Close
group 116,1/10/2016 0:59,R_2dzGQML9eWJd1r0,User 1,LOL!,LOL!,mturk,Close
group 116,1/10/2016 0:59,R_2dzGQML9eWJd1r0,User 1,When did you last cry in front of another person? By yourself?,When did you last cry in front of another person? By yourself?,mturk,Close
group 116,1/10/2016 1:01,R_3kgNGYBrQmOC7B5,User 2,"the other day, in front my boyfriend. what about you?","the other day, in front my boyfriend. what about you?",mturk,Close
group 116,1/10/2016 1:01,R_2dzGQML9eWJd1r0,User 1,"Last night on both of those questions. I got into a fight with my fiance and I cried in front of him, and then went to the other room to cry.","Last night on both of those questions. I got into a fight with my fiance and I cried in front of him, and then went to the other room to cry.",mturk,Close
group 116,1/10/2016 1:02,R_2dzGQML9eWJd1r0,User 1,"If you were to die this evening with no opportunity to communicate wtih anyone, what would you most regret not having told someone? Why haven't you told them yet?","If you were to die this evening with no opportunity to communicate wtih anyone, what would you most regret not having told someone? Why haven't you told them yet?",mturk,Close
group 116,1/10/2016 1:04,R_3kgNGYBrQmOC7B5,User 2,"oh yeah I cried to myself earlier this morning. and if I died later on this evening, I'd regret not telling my friend that I'm sorry because we're in a petty argument over nonsense.","oh yeah I cried to myself earlier this morning. and if I died later on this evening, I'd regret not telling my friend that I'm sorry because we're in a petty argument over nonsense.",mturk,Close
group 116,1/10/2016 1:04,R_2dzGQML9eWJd1r0,User 1,"Probably just telling everyone that I care about how much I love them. They already know, but it'd be nice to have them hear it one last time.  Your house, containing everything you own, catches fire. After saving your loved ones and pets, you have time to safely make a final dash to save any one item. What would it be? Why?","Probably just telling everyone that I care about how much I love them. They already know, but it'd be nice to have them hear it one last time.  Your house, containing everything you own, catches fire. After saving your loved ones and pets, you have time to safely make a final dash to save any one item. What would it be? Why?",mturk,Close
group 116,1/10/2016 1:04,R_2dzGQML9eWJd1r0,User 1,oh I went and answered that without you asking >.> sorry!,oh I went and answered that without you asking >.> sorry!,mturk,Close
group 116,1/10/2016 1:05,R_3kgNGYBrQmOC7B5,User 2,"and I haven't told her yet because we're still not talking. but yeah, the weed. I'd definitely save the weed. :joy:","and I haven't told her yet because we're still not talking. but yeah, the weed. I'd definitely save the weed. :joy:",mturk,Close
group 116,1/10/2016 1:06,R_3kgNGYBrQmOC7B5,User 2,because it calms me down!,because it calms me down!,mturk,Close
group 116,1/10/2016 1:06,R_2dzGQML9eWJd1r0,User 1,"Nice! haha I would grab my sewing machine. It's really nice and would be really expensive to replace!  Of all the people in your family, whose death would you find most disturbing? Why?","Nice! haha I would grab my sewing machine. It's really nice and would be really expensive to replace!  Of all the people in your family, whose death would you find most disturbing? Why?",mturk,Close
group 116,1/10/2016 1:09,,System,>> This chat has now expired.,,,
group 117,1/10/2016 1:08,,System,>> User 1 has Connected,,,
group 117,1/10/2016 1:16,,System,>> User 1 has Disconnected,,,
group 118,1/10/2016 1:18,,System,>> User 1 has Connected,,,
group 118,1/10/2016 1:30,,System,>> User 1 has Disconnected,,,
group 119,1/10/2016 1:32,,System,>> User 1 has Connected,,,
group 119,1/10/2016 1:39,,System,>> User 1 has Disconnected,,,
group 12,12/29/2015 21:18,,System,>> User 1 has Connected,,,
group 12,12/29/2015 21:19,,System,>> User 1 has Disconnected,,,
group 120,1/10/2016 1:34,,System,>> User 1 has Connected,,,
group 120,1/10/2016 2:01,,System,>> User 1 has Disconnected,,,
group 121,1/10/2016 3:03,,System,>> User 1 has Connected,,,
group 121,1/10/2016 3:07,,System,>> User 1 has Disconnected,,,
group 122,1/10/2016 3:19,,System,>> User 1 has Connected,,,
group 122,1/10/2016 3:23,,System,>> User 1 has Disconnected,,,
group 123,1/10/2016 3:28,,System,>> User 1 has Connected,,,
group 123,1/10/2016 3:30,,System,>> User 1 has Disconnected,,,
group 124,1/10/2016 3:34,,System,>> User 1 has Connected,,,
group 124,1/10/2016 3:42,,System,>> User 1 has Disconnected,,,
group 125,1/10/2016 5:41,,System,>> User 1 has Connected,,,
group 125,1/10/2016 5:44,,System,>> User 1 has Disconnected,,,
group 126,1/10/2016 6:20,,System,>> User 1 has Connected,,,
group 126,1/10/2016 6:26,,System,>> All chat participants have arrived. You may now chat!,,,
group 126,1/10/2016 6:26,,System,>> User 2 has Connected,,,
group 126,1/10/2016 6:26,R_1f73jK0RORAmp5s,User 1,"Given the choice of anyone in the world, whom would you want as a dinner guest?","Given the choice of anyone in the world, whom would you want as a dinner guest?",mturk,Close
group 126,1/10/2016 6:27,R_3FWhJLNJTfs9uHu,User 2,bruce campbell,bruce campbell,mturk,Close
group 126,1/10/2016 6:28,R_3FWhJLNJTfs9uHu,User 2,"If	you	could	wake	up	tomorrow	having	gained	any	one	quality	or	ability,	what	would	it	be?","If	you	could	wake	up	tomorrow	having	gained	any	one	quality	or	ability,	what	would	it	be?",mturk,Close
group 126,1/10/2016 6:28,R_1f73jK0RORAmp5s,User 1,"The ability to read people, such as what they think of me, am I doing my job efficiently enough, etc...","The ability to read people, such as what they think of me, am I doing my job efficiently enough, etc...",mturk,Close
group 126,1/10/2016 6:29,R_1f73jK0RORAmp5s,User 1,"If you could change anything about the way you were raised, what would it be","If you could change anything about the way you were raised, what would it be",mturk,Close
group 126,1/10/2016 6:30,R_3FWhJLNJTfs9uHu,User 2,to have more of a father figure in my life.,to have more of a father figure in my life.,mturk,Close
group 126,1/10/2016 6:30,R_3FWhJLNJTfs9uHu,User 2,"What	would	constitute	a	""perfect""	day	for	you?","What	would	constitute	a	""perfect""	day	for	you?",mturk,Close
group 126,1/10/2016 6:31,R_1f73jK0RORAmp5s,User 1,"Would be in the 70s, having my family in the park for a picnic, with my dog Lennon, just having a good time and listening to all their stories, enjoying every moment with them","Would be in the 70s, having my family in the park for a picnic, with my dog Lennon, just having a good time and listening to all their stories, enjoying every moment with them",mturk,Close
group 126,1/10/2016 6:31,R_1f73jK0RORAmp5s,User 1,"What would constitute a ""perfect"" day for you?","What would constitute a ""perfect"" day for you?",mturk,Close
group 126,1/10/2016 6:33,R_3FWhJLNJTfs9uHu,User 2,my perfect day would consist of working on all of my passions,my perfect day would consist of working on all of my passions,mturk,Close
group 126,1/10/2016 6:33,R_3FWhJLNJTfs9uHu,User 2,". If	you	were	able	to	live	to	the	age	of	90	and	retain	either	the	mind	or	body	of	a	30-year-old	 for	the	last	60	years	of	your	life,	which	would	you	want?",". If	you	were	able	to	live	to	the	age	of	90	and	retain	either	the	mind	or	body	of	a	30-year-old	 for	the	last	60	years	of	your	life,	which	would	you	want?",mturk,Close
group 126,1/10/2016 6:34,R_1f73jK0RORAmp5s,User 1,"my mind, I don't want to forget anything","my mind, I don't want to forget anything",mturk,Close
group 126,1/10/2016 6:35,R_1f73jK0RORAmp5s,User 1,"If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old for the last 60 years of your life, which would you want?","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old for the last 60 years of your life, which would you want?",mturk,Close
group 126,1/10/2016 6:36,R_3FWhJLNJTfs9uHu,User 2,I'd like to keep my memories,I'd like to keep my memories,mturk,Close
group 126,1/10/2016 6:36,R_3FWhJLNJTfs9uHu,User 2,"If	a	crystal	ball	could	tell	you	the	truth	about	yourself,	your	life,	the	future,	or	anything	else,	 what	would	you	want	to	know?","If	a	crystal	ball	could	tell	you	the	truth	about	yourself,	your	life,	the	future,	or	anything	else,	 what	would	you	want	to	know?",mturk,Close
group 126,1/10/2016 6:37,R_1f73jK0RORAmp5s,User 1,What job I am to apply to after college in order to create a future for myself and my future family,What job I am to apply to after college in order to create a future for myself and my future family,mturk,Close
group 126,1/10/2016 6:37,R_1f73jK0RORAmp5s,User 1,"If you could wake up tomorrow having gained any one quality or ability, what would it be?","If you could wake up tomorrow having gained any one quality or ability, what would it be?",mturk,Close
group 126,1/10/2016 6:39,R_3FWhJLNJTfs9uHu,User 2,i want the ability to move faster than any other life form.,i want the ability to move faster than any other life form.,mturk,Close
group 126,1/10/2016 6:39,R_3FWhJLNJTfs9uHu,User 2,"What	is	the	greatest	accomplishment	of	your	life?","What	is	the	greatest	accomplishment	of	your	life?",mturk,Close
group 126,1/10/2016 6:40,R_1f73jK0RORAmp5s,User 1,finally graduating college,finally graduating college,mturk,Close
group 126,1/10/2016 6:41,R_1f73jK0RORAmp5s,User 1,"If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, what would you want to know?","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, what would you want to know?",mturk,Close
group 126,1/10/2016 6:42,R_3FWhJLNJTfs9uHu,User 2,how i die.,how i die.,mturk,Close
group 126,1/10/2016 6:42,R_3FWhJLNJTfs9uHu,User 2,"What	is	your	most	treasured	memory?","What	is	your	most	treasured	memory?",mturk,Close
group 126,1/10/2016 6:42,R_1f73jK0RORAmp5s,User 1,"when I got my dog, Lennon","when I got my dog, Lennon",mturk,Close
group 126,1/10/2016 6:43,R_1f73jK0RORAmp5s,User 1,What is the greatest accomplishment of your life?,What is the greatest accomplishment of your life?,mturk,Close
group 126,1/10/2016 6:43,R_3FWhJLNJTfs9uHu,User 2,Getting my GED,Getting my GED,mturk,Close
group 126,1/10/2016 6:43,R_3FWhJLNJTfs9uHu,User 2,"If	you	knew	that	in	one	year	you	would	die	suddenly,	would	you	change	anything	about	the	 way	you	are now	living?	Why?","If	you	knew	that	in	one	year	you	would	die	suddenly,	would	you	change	anything	about	the	 way	you	are now	living?	Why?",mturk,Close
group 126,1/10/2016 6:45,R_1f73jK0RORAmp5s,User 1,"Yes, I would quit school and work move back home and spend more time with my family - and travel to man different foreign places. I love my family and I believe that is who you should be with in your final days, and I want to see beauty before death","Yes, I would quit school and work move back home and spend more time with my family - and travel to man different foreign places. I love my family and I believe that is who you should be with in your final days, and I want to see beauty before death",mturk,Close
group 126,1/10/2016 6:45,R_1f73jK0RORAmp5s,User 1,What is your most treasured memory?,What is your most treasured memory?,mturk,Close
group 126,1/10/2016 6:46,R_3FWhJLNJTfs9uHu,User 2,Finding out i would be a father.,Finding out i would be a father.,mturk,Close
group 126,1/10/2016 6:46,R_3FWhJLNJTfs9uHu,User 2,"How	do	you	feel	about	your	relationship	with	your	mother?","How	do	you	feel	about	your	relationship	with	your	mother?",mturk,Close
group 126,1/10/2016 6:46,,System,>> This chat has 600 seconds remaining before expiring. Please start wrapping up your conversation.,,,
group 126,1/10/2016 6:47,R_1f73jK0RORAmp5s,User 1,"Our relationship is fine, we talk to each other but I am not as close with her as I would like to be, it's hard hearing how great a relationship others have with their mom. We talk, but I find it hard to tell her personal things","Our relationship is fine, we talk to each other but I am not as close with her as I would like to be, it's hard hearing how great a relationship others have with their mom. We talk, but I find it hard to tell her personal things",mturk,Close
group 126,1/10/2016 6:47,R_1f73jK0RORAmp5s,User 1,"If you knew that in one yer you would die suddenly, would you change anything about the way you are now living? wjy?","If you knew that in one yer you would die suddenly, would you change anything about the way you are now living? wjy?",mturk,Close
group 126,1/10/2016 6:47,R_1f73jK0RORAmp5s,User 1,why? *,why? *,mturk,Close
group 126,1/10/2016 6:48,R_3FWhJLNJTfs9uHu,User 2,i would change my mind more often and live with less stress,i would change my mind more often and live with less stress,mturk,Close
group 126,1/10/2016 6:48,R_3FWhJLNJTfs9uHu,User 2,"Share	with	your	partner	an	embarrassing	moment	in	your	life","Share	with	your	partner	an	embarrassing	moment	in	your	life",mturk,Close
group 126,1/10/2016 6:48,R_1f73jK0RORAmp5s,User 1,I was taking the SATs and I didn't realize it but the sweatpants I was wearing had an old pair of underwear in them and the underwear fell out ... super awkward,I was taking the SATs and I didn't realize it but the sweatpants I was wearing had an old pair of underwear in them and the underwear fell out ... super awkward,mturk,Close
group 126,1/10/2016 6:48,R_1f73jK0RORAmp5s,User 1,How do you feel about your relationship with your mother,How do you feel about your relationship with your mother,mturk,Close
group 126,1/10/2016 6:49,R_3FWhJLNJTfs9uHu,User 2,im on good terms with my mother and always do things for her,im on good terms with my mother and always do things for her,mturk,Close
group 126,1/10/2016 6:49,R_3FWhJLNJTfs9uHu,User 2,"When	did	you	last	cry	in	front	of	another	person?	By	yourself?","When	did	you	last	cry	in	front	of	another	person?	By	yourself?",mturk,Close
group 126,1/10/2016 6:49,R_1f73jK0RORAmp5s,User 1,I cried in front of a good friend's mother on Christmas Eve and yesterday I cried by myself,I cried in front of a good friend's mother on Christmas Eve and yesterday I cried by myself,mturk,Close
group 126,1/10/2016 6:49,R_1f73jK0RORAmp5s,User 1,Share an embarassing moment in your life,Share an embarassing moment in your life,mturk,Close
group 126,1/10/2016 6:50,R_3FWhJLNJTfs9uHu,User 2,i got kneed in my growing playing basket ball and i flew across the gym,i got kneed in my growing playing basket ball and i flew across the gym,mturk,Close
group 126,1/10/2016 6:51,R_3FWhJLNJTfs9uHu,User 2,"If	you	were	to	die	this	evening	with	no	opportunity	to	communicate	with	anyone,	what	 would	you	most	regret	not	having	told	someone?	Why	haven't	you	told	them	yet?","If	you	were	to	die	this	evening	with	no	opportunity	to	communicate	with	anyone,	what	 would	you	most	regret	not	having	told	someone?	Why	haven't	you	told	them	yet?",mturk,Close
group 126,1/10/2016 6:51,R_1f73jK0RORAmp5s,User 1,"I would most regret telling my ex, Charles that he was the love of my life and I wish I had chosen him. I haven't told him since I chose someone else and don't know how to end it since we've dated for so long","I would most regret telling my ex, Charles that he was the love of my life and I wish I had chosen him. I haven't told him since I chose someone else and don't know how to end it since we've dated for so long",mturk,Close
group 126,1/10/2016 6:51,R_1f73jK0RORAmp5s,User 1,When did you last cry in front of another person? By yourself?,When did you last cry in front of another person? By yourself?,mturk,Close
group 126,1/10/2016 6:52,R_3FWhJLNJTfs9uHu,User 2,i cried when my cat died a few years ago,i cried when my cat died a few years ago,mturk,Close
